name,address1,address2,phone,url,wifi
Johnson Public House,908 E Johnson St,"Madison, WI 53703",(608) 347-0483,http://johnsonpublichouse.com,free
Barriques Coffee Trader,127 W Washington,"Madison, WI 53711",(608) 268-6264,http://www.barriquesmarket.com,free
Bradbury's,127 N Hamilton St,"Madison, WI 53703",(608) 204-0474,http://bradburyscoffee.com,free
Ground Zero,744 Williamson St,"Madison, WI 53703",(608) 294-8668,http://www.groundzeromadison.com,free
Barriques Wine Cave,1831 Monroe St,"Madison, WI 53711",(608) 284-9463,http://www.barriquesmarket.com,free
Barriques,961 S Park St,"Madison, WI 53715",(608) 819-6787,http://www.barriquesmarket.com,free
Steep & Brew,544 State St,"Madison, WI 53703",(608) 256-2902,http://www.steepnbrew.com/,free
Ancora Coffee Roasters,112 King St,"Madison, WI 53703",(608) 255-0285,http://www.ancoracoffee.com/,free
Lakeside Street Coffee House,402 W Lakeside St,"Madison, WI 53715",(608) 441-7599,http://www.lakesidefibers.com/coffee-room.htm,free
EVP Coffee,1250 E. Washington Ave,"Madison, WI 53703",(608) 294-6868,http://www.evpcoffee.com/,free
Michelangelo's Coffee House,114 State St,"Madison, WI 53703",(608) 251-5299,http://michelangeloscoffeehouse.com/,free
Crema Cafe,4124 Monona Dr,"Madison, WI 53716",(608) 224-1150,http://www.goodcrema.com/,free
Chocolaterian Cafe,2004 Atwood Ave,"Madison, WI 53704",(608) 249-1156,http://chocolateriancafe.com/new/,free
Indie Coffee,1225 Regent St,"Madison, WI 53715",(608) 259-9621,http://www.indiecoffee.net,free
Java Cat Coffee,3918 Monona Dr,"Madison, WI 53716",(608) 223-5553,http://www.javacatmadison.com/,free
Cool Beans Coffee Cafe,1748 Eagan Rd,"Madison, WI 53704",(608) 244-8414,http://www.coolbeanscoffeecafe.com/,free
Mermaid Cafe,1929 Winnebago St,"Madison, WI 53704",(608) 249-9719,,free
Electric Earth,546 W Washington Ave,"Madison, WI 53703",(608) 255-2310,,free
Moka,2910 E Washington Ave,"Madison, WI 53704",(608) 442-6651,http://www.mokacoffee.co/,free
4&20 Bakery & Cafe,305 N 4th St,"Madison, WI 53704",(608) 819-8893,http://www.4and20bakery.com/,free
Java Den At 1022,1022 W Johnson St,"Madison, WI 53715",(608) 259-9448,http://www.javaden1022.com/,free
Mother Fool's Coffee House,1101 Williamson St,"Madison, WI 53703",(608) 259-1301,http://www.motherfools.com/,free
EVP Coffee,555 S. Midvale Blvd,"Madison, WI 53711",(608) 441-1103,http://www.evpcoffee.com/,free
Fair Trade Coffee,418 State Street,"Madison, WI 53774",(608) 268-0477,http://fairtradecoffeehouse.com/,free
Starbucks,661 State St,"Madison, WI 53703",(608) 294-8345,http://www.starbucks.com/,free
Jade Mountain,2611 E Johnson St,"Madison, WI 53704",(608) 316-2789,http://www.jademountainteas.com/,free
Gallup! Coffee & Bakehouse,1859 Monroe St,"Madison, WI 53711",(608) 285-5704,http://www.­gallupbakehouse.­com/,free
Cargo Coffee,1309 S Park St,"Madison, WI 53715",(608) 268-0597,,free
Espresso Royale,650 State St,"Madison, WI 53703",(608) 259-0300,,free
Cafe Zoma,2326 Atwood Ave,"Madison, WI 53704",(608) 243-1300,,free
Redamte Coffee House,449 State St,"Madison, WI 53703",(608) 576-0199,http://www.redamte.com/,free
Starbucks,3515 University Ave,"Madison, WI 53705",,http://www.starbucks.com/,free
Ironworks Cafe,149 Waubesa St,"Madison, WI 53704",(608) 241-1574,http://www.goodmancenter.org/,free
Steepery Tea Bar,430 State St,"Madison, WI 53703",(608) 819-8012,http://www.steepery.com/,free
Espresso Royale Caffe,208 State St,"Madison, WI 53703",(608) 259-0800,http://www.espressoroyale.com/,free
Victor Allen's Coffee Llc,2623 Monroe St,"Madison, WI 53711",(608) 231-0622,,free
Starbucks,434 Gammon Pl,"Madison, WI 53719",(608) 829-3646,http://www.starbucks.com/,free
Steep & Brew,6656 Odana Rd,"Madison, WI 53719",(608) 833-6656,,free
Einstein Bros Bagels,2701 University Ave,"Madison, WI 53705",(608) 828-9788,http://www.einsteinbros.com/,free
Meeting Grounds,494 Commerce Dr,"Madison, WI 53719",(608) 826-4200,http://www.goodcrema.com/,free
Yola's Cafe,494 Commerce Dr,"Madison, WI 53719",(608) 827-5800,http://www.yolascafe.com/,free
The Victory,2710 Atwood Ave,"Madison, WI 53704",(608) 240-0366,http://www.thevictorymadison.com/,none
